# col1  newnz                 frac               frac_hip           
  0.725 6.782599953147506E-4  0.7630568388768029 0.23694316112319713
  0.735 7.659731808034165E-4  0.7525302726738751 0.24746972732612493
  0.745 8.387194929966824E-4  0.7502677777735801 0.2497322222264199 
  0.755 9.225235884026904E-4  0.7316699571788802 0.26833004282111983
  0.765 9.985387258297411E-4  0.7212826843639957 0.2787173156360043 
  0.775 0.0010810335659139656 0.709824048184107  0.29017595181589295
  0.785 0.0011434653547025117 0.7100792774235711 0.28992072257642887
  0.795 0.001204081853859156  0.701378709068614  0.298621290931386  
  0.805 0.0012492032935482091 0.6935645477993447 0.30643545220065527
  0.815 0.001302638409146316  0.6863826574521676 0.31361734254783236
  0.825 0.001337714251791623  0.6826171175664816 0.3173828824335184 
  0.835 0.001385634200100852  0.6744840024209884 0.3255159975790116 
  0.845 0.0014113374096624144 0.6664704186627608 0.3335295813372392 
  0.855 0.001412374902197873  0.6702349216604514 0.3297650783395486 
  0.865 0.0014041378355006263 0.6840120714280427 0.31598792857195734
  0.875 0.0014472691458744186 0.677671122808329  0.322328877191671  
  0.885 0.001434568813714696  0.687641552960928  0.312358447039072  
  0.895 0.001463958884879625  0.681150683612937  0.31884931638706304
  0.905 0.0014597099069713786 0.6849861230238364 0.31501387697616356
  0.915 0.0014723373865176126 0.6812795274743968 0.3187204725256032 
  0.925 0.001497255152505519  0.6735771354738003 0.32642286452619973
  0.935 0.0015018815078966718 0.6669944650638682 0.33300553493613183
  0.945 0.0014806827143032785 0.6716092472844007 0.32839075271559925
  0.955 0.0014622626626801811 0.6711562837295275 0.3288437162704725 
  0.965 0.0014386985769264137 0.6723071232582357 0.3276928767417643 
  0.975 0.0013930234913368937 0.681075260850158  0.318924739149842  
  0.985 0.0013459275812663439 0.6915246803410636 0.3084753196589364 
  0.995 0.0012845229745933585 0.7084363165428634 0.29156368345713657
  1.005 0.001232144312248923  0.7235040386100536 0.27649596138994637
  1.015 0.0011787338784541553 0.7300489620081573 0.2699510379918427 
  1.025 0.001152337275130437  0.7342269431463861 0.26577305685361385
  1.035 0.001118848689885819  0.7411850467679547 0.2588149532320453 
  1.045 0.00109120573238934   0.7460121411374558 0.25398785886254416
  1.055 0.0010698366681290785 0.7472233959630307 0.25277660403696933
  1.065 0.0010468558010146044 0.7502780702159184 0.2497219297840816 
  1.075 0.0010265235483555312 0.7560688990496318 0.24393110095036818
  1.085 0.0010106736678163095 0.7594255556901162 0.24057444430988384
  1.095 9.879528819884E-4     0.7605469901892855 0.2394530098107145 
  1.105 9.723450203723065E-4  0.7642510381898298 0.23574896181017024
  1.115 9.613925537523539E-4  0.7625750697604206 0.23742493023957945
  1.125 9.415300150075596E-4  0.770404192999781  0.22959580700021898
  1.135 9.305747874984955E-4  0.77143010812018   0.22856989187982002
  1.145 9.082792757902968E-4  0.7794628125891865 0.22053718741081352
  1.155 9.060326833555731E-4  0.7782414557400986 0.22175854425990138
  1.165 8.945190292407434E-4  0.7808640604414906 0.2191359395585094 
  1.175 8.73939164518096E-4   0.7888550707448281 0.21114492925517192
  1.185 8.609915761675072E-4  0.7892061714961756 0.21079382850382444
  1.195 8.475021027036662E-4  0.7909075324267254 0.2090924675732746 
  1.205 8.356842520715229E-4  0.7929796391597759 0.20702036084022413
  1.215 8.163988673658883E-4  0.799214808377633  0.20078519162236697
  1.225 8.026067380015554E-4  0.8027548617752022 0.19724513822479783
  1.235 7.884208987072016E-4  0.80953931680739   0.19046068319261   
  1.245 7.749669980831E-4     0.8118984622474335 0.18810153775256655
  1.255 7.69396101403577E-4   0.8134847009802718 0.1865152990197282 
  1.265 7.614738513367392E-4  0.8185719458431342 0.1814280541568658 
  1.275 7.500712334656806E-4  0.8160229904289397 0.18397700957106033
  1.285 7.420136136047534E-4  0.812414139695608  0.18758586030439195
  1.295 7.314338312410612E-4  0.8099569656967042 0.19004303430329583
  1.305 7.18090184576633E-4   0.8190556463856967 0.18094435361430328
  1.315 7.078683095664232E-4  0.8223815917642514 0.1776184082357486 
  1.325 6.886757548562888E-4  0.8281748143051189 0.17182518569488114
  1.335 6.750414095164418E-4  0.8348160306307753 0.16518396936922475
  1.345 6.675302504796776E-4  0.8348158820183457 0.16518411798165433
  1.355 6.549779290893512E-4  0.8456087328308896 0.15439126716911045
  1.365 6.501440828917311E-4  0.8446916526384605 0.15530834736153953
  1.375 6.386385526169471E-4  0.8479178359366956 0.15208216406330444
