# col1  newnz                 frac               frac_hip           
  0.345 1.87118692810039E-4   0.8449444335033366 0.1550555664966634 
  0.355 1.5121117392293988E-4 0.8513398712972012 0.14866012870279877
  0.365 1.24697285414526E-4   0.8378376754732647 0.1621623245267353 
  0.375 1.0247194754506E-4    0.8422059497329241 0.15779405026707594
  0.385 8.646506928855052E-5  0.8307332429067852 0.16926675709321481
  0.395 7.138305341570632E-5  0.8460547041798375 0.15394529582016248
  0.405 6.548482136531503E-5  0.8520242885355355 0.14797571146446453
  0.415 7.075049016800216E-5  0.8515501255247888 0.14844987447521119
  0.425 8.731905530334901E-5  0.8374742209699565 0.1625257790300435 
  0.435 1.005042279946181E-4  0.8317321120043129 0.16826788799568715
  0.445 1.0486541329978598E-4 0.8555655385996433 0.14443446140035665
  0.455 1.122326275436013E-4  0.8640419031086495 0.13595809689135052
  0.465 1.2175781433526531E-4 0.8559898396748816 0.14401016032511837
  0.475 1.2441875378846134E-4 0.8620766508860351 0.13792334911396487
  0.485 1.1910265261737241E-4 0.8475605429169882 0.15243945708301176
  0.495 9.968368891471685E-5  0.8430512439772888 0.1569487560227112 
  0.505 8.459408655121305E-5  0.8312319803805583 0.16876801961944166
  0.515 7.296294247229973E-5  0.8573619453949061 0.14263805460509393
  0.525 6.549302541901252E-5  0.826744572417581  0.17325542758241896
  0.535 5.841417891631431E-5  0.8254725727125037 0.17452742728749626
  0.545 4.936905423551379E-5  0.8604708302769114 0.1395291697230886 
  0.555 4.686849876995952E-5  0.8367841319672309 0.1632158680327691 
  0.565 4.8882394944446576E-5 0.8353855595874053 0.16461444041259465
  0.575 5.461607655252514E-5  0.8228856030231665 0.1771143969768335 
  0.585 5.888067317455562E-5  0.835994656977797  0.16400534302220304
  0.595 6.58169472827406E-5   0.8304874880409668 0.16951251195903316
  0.605 7.305140536815591E-5  0.8158335320206057 0.1841664679793943 
  0.615 8.157431521361991E-5  0.8009589035408501 0.1990410964591499 
  0.625 8.99324686358442E-5   0.8100107439638448 0.18998925603615524
  0.635 1.0049519071315819E-4 0.8044227489851066 0.19557725101489343
  0.645 1.1149243721659569E-4 0.7999082193862371 0.20009178061376287
  0.655 1.2359457655588266E-4 0.8111476576460297 0.1888523423539703 
  0.665 1.4772171647225348E-4 0.792580570494547  0.207419429505453  
  0.675 1.7961139905015128E-4 0.7986895076923728 0.2013104923076272 
  0.685 2.185251064856413E-4  0.8024613542168971 0.19753864578310287
  0.695 2.6553500561558467E-4 0.7944698117463195 0.20553018825368052
  0.705 3.1817348355103373E-4 0.7886022072240801 0.21139779277591986
  0.715 3.8299662891724183E-4 0.7760060173413132 0.22399398265868675
  0.725 4.5508241021556696E-4 0.7630568388768029 0.23694316112319713
  0.735 5.277696369123502E-4  0.7525302726738751 0.24746972732612493
  0.745 5.918700261427594E-4  0.7502677777735801 0.2497322222264199 
  0.755 6.707879043034126E-4  0.7316699571788802 0.26833004282111983
  0.765 7.490199379105869E-4  0.7212826843639957 0.2787173156360043 
  0.775 8.33238973563466E-4   0.709824048184107  0.29017595181589295
  0.785 9.000859798972703E-4  0.7100792774235711 0.28992072257642887
  0.795 9.736029133594031E-4  0.701378709068614  0.298621290931386  
  0.805 0.0010440725823591763 0.6935645477993447 0.30643545220065527
  0.815 0.001117188131238812  0.6863826574521676 0.31361734254783236
  0.825 0.0011764068836677022 0.6826171175664816 0.3173828824335184 
  0.835 0.0012375144442811627 0.6744840024209884 0.3255159975790116 
  0.845 0.0012871604700892972 0.6664704186627608 0.3335295813372392 
  0.855 0.001310252847605389  0.6702349216604514 0.3297650783395486 
  0.865 0.0013042001577785508 0.6840120714280427 0.31598792857195734
  0.875 0.0013359176664553012 0.677671122808329  0.322328877191671  
  0.885 0.0013253563552742217 0.687641552960928  0.312358447039072  
  0.895 0.0013551415744402285 0.681150683612937  0.31884931638706304
  0.905 0.0013513777520273668 0.6849861230238364 0.31501387697616356
  0.915 0.0013624197700774655 0.6812795274743968 0.3187204725256032 
  0.925 0.0013762373507188242 0.6735771354738003 0.32642286452619973
  0.935 0.0013885677503626722 0.6669944650638682 0.33300553493613183
  0.945 0.001370951471327576  0.6716092472844007 0.32839075271559925
